Date,Open,Close,High,Low
2022-04-19,7616.38,7601.28,7624.9,7565.81
2022-04-20,7601.28,7629.22,7637.87,7590.62
2022-04-21,7629.22,7627.95,7656.47,7596.29
2022-04-22,7627.95,7521.68,7628.03,7521.68
2022-04-25,7521.68,7380.54,7521.68,7339.53
2022-04-26,7380.54,7386.19,7463.15,7380.54
2022-04-27,7386.19,7425.61,7458.24,7344.89
2022-04-28,7425.61,7509.19,7519.7,7425.61
2022-04-29,7509.19,7544.55,7569.8,7509.19
2022-05-03,7544.55,7561.33,7561.33,7475.69
2022-05-04,7561.33,7493.45,7572.65,7493.45
2022-05-05,7493.45,7503.27,7619.39,7493.45
2022-05-06,7503.27,7387.94,7503.27,7354.06
2022-05-09,7387.94,7216.58,7391.59,7216.58
2022-05-10,7216.58,7243.22,7311.65,7216.58
2022-05-11,7243.22,7347.66,7349.7,7238.97
2022-05-12,7347.66,7233.34,7347.66,7158.53
2022-05-13,7233.34,7418.15,7421.95,7233.34
2022-05-16,7418.15,7464.8,7464.8,7361.72
2022-05-17,7464.8,7518.35,7538.68,7464.8
2022-05-18,7518.35,7438.09,7526.14,7438.09
2022-05-19,7438.09,7302.74,7438.09,7228.67
2022-05-20,7302.74,7389.98,7453.49,7302.74
2022-05-23,7389.98,7513.44,7513.44,7389.98
2022-05-24,7513.44,7484.35,7529.65,7434.46
2022-05-25,7484.35,7522.75,7546.41,7484.35
2022-05-26,7522.75,7564.92,7575.53,7512.45
2022-05-27,7564.92,7585.46,7597.64,7542.78
2022-05-30,7585.46,7600.06,7625.63,7576.37
2022-05-31,7600.06,7607.66,7648.26,7591.84
2022-06-01,7607.66,7532.95,7639.21,7529.23
2022-06-06,7532.95,7608.22,7646.66,7532.84
2022-06-07,7608.22,7598.93,7617.53,7570.67
2022-06-08,7598.93,7593,7616.22,7550.65
2022-06-09,7593,7476.21,7593,7472.29
2022-06-10,7476.21,7317.52,7476.21,7294.2
2022-06-13,7317.52,7205.81,7317.52,7174.02
2022-06-14,7205.81,7187.46,7271.85,7135.15
2022-06-15,7187.46,7273.41,7313.7,7186.5
2022-06-16,7273.41,7044.98,7273.41,7039.47
2022-06-17,7044.98,7016.25,7130.62,6998.17
2022-06-20,7016.25,7121.81,7129.64,7016.15
2022-06-21,7121.81,7152.05,7193.9,7119.25
2022-06-22,7152.05,7089.22,7152.05,7030.03
2022-06-23,7089.22,7020.45,7115.8,7014.19
2022-06-24,7020.45,7208.81,7211.07,7016.02
2022-06-27,7208.81,7258.32,7284.48,7208.52
2022-06-28,7258.32,7323.41,7362.37,7258.32
2022-06-29,7323.41,7312.32,7345.45,7263.54
2022-06-30,7312.32,7169.28,7312.32,7110.7
2022-07-01,7169.28,7168.65,7214.82,7101.38
2022-07-04,7168.65,7232.65,7258.46,7168.65
2022-07-05,7232.65,7025.47,7260.3,7016.78
2022-07-06,7025.47,7107.77,7198.72,7025.35
2022-07-07,7107.77,7189.08,7213.05,7107.77
2022-07-08,7189.08,7196.24,7210.58,7129.15
2022-07-11,7196.24,7196.59,7204.06,7097.42
2022-07-12,7196.59,7209.86,7216.9,7143.31
2022-07-13,7209.86,7156.37,7209.86,7104.06
2022-07-14,7156.37,7039.81,7157.62,7007.09
2022-07-15,7039.81,7159.01,7167.85,7038.15
2022-07-18,7159.01,7223.24,7268.88,7159.01
2022-07-19,7223.24,7296.28,7308.99,7174.4
2022-07-20,7296.28,7264.31,7347.6,7253.56
2022-07-21,7264.31,7270.51,7274.73,7200.14
2022-07-22,7270.51,7276.37,7315.34,7254.02
2022-07-25,7276.37,7306.3,7309.65,7242.9
2022-07-26,7306.3,7306.28,7365.37,7301.19
2022-07-27,7306.28,7348.23,7365.22,7306.28
2022-07-28,7348.23,7345.25,7396.2,7308.99
2022-07-29,7345.25,7423.43,7441.2,7345.25
2022-08-01,7423.43,7413.42,7471.87,7408.83
2022-08-02,7413.42,7409.11,7433.34,7386.76
2022-08-03,7409.11,7445.68,7445.9,7372.71
2022-08-04,7445.68,7448.06,7491.74,7417.49
2022-08-05,7448.06,7439.74,7470.63,7420.16
2022-08-08,7439.74,7482.37,7513.76,7439.74
2022-08-09,7482.37,7488.15,7504.64,7475.04
2022-08-10,7488.15,7507.11,7520.72,7468.64
2022-08-11,7507.11,7465.91,7515,7460.11
2022-08-12,7465.91,7500.89,7516.83,7464.12
2022-08-15,7500.89,7509.15,7539.21,7463.51
2022-08-16,7509.15,7536.06,7563.67,7509.15
2022-08-17,7536.06,7515.75,7554.04,7501.54
2022-08-18,7515.75,7541.85,7541.89,7493.66
2022-08-19,7541.85,7550.37,7578.85,7513.26
2022-08-22,7550.37,7533.79,7550.41,7491.26
